ProjectID,ProjectTitle,ProjectBudget,ProjectLocation,ProjectImplementor,ProjectTheme,ProjectAdoptionDate,ProjectStartDate,ProjectEndDate,ProjectLinks,Comments,multiple countries?,DE implementing?,Region
T05-EUTF-HOA-REG-19,Towards Free Movement and Transhumance in the IGAD region,14952505.5,"Djibouti, Ethiopia, Kenya, Somalia, Sudan, Uganda, South Sudan","Intergovernmental Authority on Development, OIT - ILO - Organisation Internationale du Travail - International Labour Organization","Greater economic and employment opportunities, Strengthening resilience, Improved migration management",2016-04-28,,2020-12-28,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5500/document/T05-EUTF-HOA-REG-19_-_IGAD_-_Towards_Free_Movement_of_Persons_and_Trans.pdf,,TRUE,FALSE,HOA
T05-EUTF-HOA-REG-20,Strengthening the ability of IGAD to promote resilience in the Horn of Africa,5000000,"Djibouti, Ethiopia, Kenya, Somalia, Sudan, Uganda, South Sudan","Intergovernmental Authority on Development, GIZ","Strengthening resilience, Improved governance and conflict prevention",2016-04-28,2016-04-28,2020-12-28,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5499/document/T05-EUTF-HOA-REG-20_-_IGAD_-_Strengthening_the_Ability_of_IGAD_to_Promo.pdf,,TRUE,TRUE,HOA
T05-EUTF-HOA-SS-21,Strengthening the Livelihoods Resilience of Pastoral and Agro-Pastoral Communities in South Sudan’s cross-border areas with Sudan Ethiopia Kenya and Uganda,27730000,"Sudan, South Sudan, Ethiopia",Food and Agriculture Organization,"Strengthening resilience, Improved governance and conflict prevention",2016-10-21,2016-10-21,2020-10-21,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5715/document/T05-EUTF-HOA-SS-21_Strenghething_the_livelihoods_resilience_of_pastoral.pdf,,TRUE,FALSE,HOA
T05-EUTF-HOA-REG-25,Facility on Sustainable and Dignified Return and Reintegration in support of the Khartoum Process,60950000,"Djibouti, Ethiopia, Eritrea, Kenya, South Sudan, Sudan, Somalia",International Organization for Migration,"Greater economic and employment opportunities, Improved migration management",2016-12-15,,,"https://ec.europa.eu/europeaid/facility-sustainable-and-dignified-return-and-reintegration-support-khartoum-process-action-document_en, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5531/document/T05-EUTF-HOA-REG-25_Return_and_Reintegration_Facility_incl._3_riders.do.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5531/document/EU-IOM%20Joint%20Initiative%20Flash%20Report%20%233.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5531/document/EU-IOM%20Joint%20Initiative%20Flash%20Report%20%231.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5531/document/EUTF%20Reintegration%20Facility%20Newsletter%20Nov%2017.pdf",,TRUE,FALSE,HOA
T05-EUTF-HoA-REG-26,Collaboration in Cross-Border Areas of the Horn of Africa Region,67015000,"Kenya, Ethiopia, Sudan, Somalia","GIZ, United Nations Development Programme, Intergovernmental Authority on Development","Greater economic and employment opportunities, Strengthening resilience, Improved governance and conflict prevention",2016-12-15,,2024-12-31,"https://ec.europa.eu/europeaid/sites/devco/files/regional-collaboration-in-cross-border-areas_en.pdf, https://www.igadportal.org/attachments/article/1465/Communique%20Extra-ordinary%20General%20Assembly%2021%20January%202017-Final.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5529/document/T05-EUTF-HOA-REG-26_-_Collaboration_in_cross-border_areas_incl._4_adden.pdf, https://www.igadportal.org/attachments/article/1465/Communique%20Extra-ordinary%20General%20Assembly%2021%20January%202017-Final.pdf",,TRUE,TRUE,HOA
T05-EUTF-HOA-REG-27,Regional Operational Centre in support of the Khartoum Process and AU-Horn of Africa Initiative (ROCK),5000000,"Djibouti, Kenya, South Sudan, Sudan, Somalia, Eritrea, Ethiopia",Interpol,Improved migration management,2016-12-15,2016-12-15,2021-12-15,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5535/document/T05-EUTF-HOA-REG-27_-_Regional_Operational_Centre_ROCK_incl._3_addenda.pdf,,TRUE,FALSE,HOA
T05-EUTF-HoA-REG-28,Monitoring and Learning System for the EUTF Horn of Africa,6900000,"Djibouti, Eritrea, Ethiopia, Kenya, Somalia, South Sudan, Sudan, Uganda",Altai Consulting,"Greater economic and employment opportunities, Strengthening resilience, Improved migration management, Improved governance and conflict prevention",2016-12-15,,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5534/document/T05-EUTF-HOA-REG-28_-_Monitoring_and_Learning_System_incl._2_riders.pdf,,TRUE,FALSE,HOA
T05-EUTF-HOA-REG-36,IGAD Promoting Peace and Stability in the Horn of Africa Region (IPPSHAR),361440000,"Ethiopia, Kenya, Djibouti, Eritrea, Somalia, South Sudan, Sudan, Tanzania, Uganda","Austrian Development Agency, Intergovernmental Authority on Development",Improved governance and conflict prevention,2017-10-01,,2024-06-30,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6284/document/T05-EUTF-HOA-REG-36__IPPSHAR_incl._2_riders.pdf,,TRUE,FALSE,HOA
T05-EUTF-HOA-ET-40,Stimulating economic opportunities and job creation for refugees and host communities in Ethiopia in support of the Comprehensive Refugee Response Framework (CRRF) in Ethiopia,14750000,Ethiopia,United Nations High Commissioner for Refugees,"Greater economic and employment opportunities, Strengthening resilience, Improved governance and conflict prevention",2017-12-12,2017-12-12,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6727/document/T05-EUTF-HOA-ET-40_CRRF_incl._2_addenda.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-KE-17,Regional Development and Protection Programme in Kenya: Support to the Kalobeyei Development Programme,14777689,Kenya,"World Food Programme, UNICEF, Food and Agriculture Organization, United Nations High Commissioner for Refugees","Greater economic and employment opportunities, Strengthening resilience, Improved governance and conflict prevention",2016-04-28,,2022-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5454/document/T05-EUTF-HOA-KE-17_-_RDPP_incl_2_addenda.pdf,,FALSE,FALSE,HOA
T05-EUTF-HoA-KE-18,Conflict Prevention peace and economic opportunities for the youth,15000000,Kenya,"Slovak Agency for International Development , GIZ, Royal United Services Institute, Red Cross Kenya","Greater economic and employment opportunities, Strengthening resilience, Improved governance and conflict prevention",2016-04-28,,,"https://ec.europa.eu/europeaid/rider-conflict-prevention-peace-and-economic-opportunities-youth-action-document_en, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5462/document/bT05-EUTF-HOA-KE-18_-_conflict_prevention_Youth_incl._2_riders.pdf",,FALSE,TRUE,HOA
T05-EUTF-HOA-KE-34,Kenya-EU Partnership for the implementation of the Kenya CVE strategy,5500000,Kenya,National Counter Terrorism Centre,Improved governance and conflict prevention,2018-01-15,2018-01-15,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6271/document/bT05-EUTF-HOA-KE-34_-_Kenya_EU_Partnership_CVE_incl._rider.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-KE-58,Piloting Private Sector Solutions for Refugees and Host Communities in North-West Kenya,5000000,Kenya,IFC,"Greater economic and employment opportunities, Strengthening resilience",,,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7141/document/T05-EUTF-HOA-KE-58%20-%20Piloting%20Private%20Sector%20Solutions%20%28Incl.%20Addendum%29.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-KE-69,Enhancing self-reliance for refugees and host communities in Kenya,33270000,Kenya,"ITC, UNHCR","Greater economic and employment opportunities, Strengthening resilience, Improved migration management",,,2022-12-12,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7608/document/T05-EUTF-HOA-KE-69_-_CRRF_Kenya_incl._4_riders.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-ET-52,Sustainable Reintegration support to Ethiopian returnees from Europe and support to vulnerable displaced populations affected by COVID19,15150000,Ethiopia,Administration for Refugees and Returnees Affairs,"Greater economic and employment opportunities, Strengthening resilience, Improved migration management",2018-02-26,2018-04-27,2021-04-26,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6895/document/T05-EUTF-HOA-ET-52_ARRA_inc._1_rider.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6895/document/Standard%20Grant%20Contract%20-ARRA%2019042018.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6895/document/Budget%20ARRA%20Reintegration%20Action%20EUTF%20%28FINAL%29.xls",,FALSE,FALSE,HOA
T05-EUTF-HOA-ET-42,Leather Initiative for Sustainable Employment Creation (LISEC) in Ethiopia,13750000,Ethiopia,"People in Need, UNIDO, Government Of Ethiopia","Greater economic and employment opportunities, Improved governance and conflict prevention",2018-04-02,2018-04-02,2023-04-01,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6722/document/T05-EUTF-HOA-ET-42_-_Leather_initiative_for_sustainable_employment_crea.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-ET-51,Shire Alliance: Energy Access for Host Communities and Refugees in Ethiopia,3050000,Ethiopia,Spanish Agency for International Development Cooperation ,"Greater economic and employment opportunities, Strengthening resilience",2018-05-01,2018-05-01,2022-02-28,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6731/document/T05-EUTF-HOA-ET-51_SHIRE_incl._1_addendum.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-ET-60,Ethiopia Job Compact Sector Reform and Performance Contract,30000000,Ethiopia,Government Of Ethiopia,"Greater economic and employment opportunities, Strengthening resilience",2018-05-29,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7137/document/T05-EUTF-HOA-ET-60_-_Ethiopia_Job_Compact_Incl._2_addenda.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-ET-72,Decentralisation of Disaster Risk Management in Ethiopia,33500000,Ethiopia,"Oromia Regional State, Amhara Regional State","Greater economic and employment opportunities, Strengthening resilience, Improved governance and conflict prevention",2018-12-12,,2023-06-12,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7689/document/T05-EUTF-HOA-ET-72_-_DRR_in_Ethiopia_incl._2_riders.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-REG-62,Disrupting criminal trafficking and smuggling networks through increased anti-money laundering and financial investigation capacity in the Greater Horn of Africa,5000000,"Djibouti, Ethiopia, Kenya, Somalia, South Sudan, Uganda, Yemen",Civipol,Improved governance and conflict prevention,2018-12-12,,2021-12-12,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7596/document/T05-EUTF-HOA-REG-62-_Disrupting_Trafficking_networks_incl._1_rider.pdf,,TRUE,FALSE,HOA
T05-EUTF-REG-REG-05,Erasmus+ in West Africa and the Horn of Africa,9813810,"Burkina Faso, Niger, Nigeria, Senegal, Djibouti, Ethiopia, Eritrea, Kenya, Somalia, South Sudan, Sudan, Cameroun, Tanzania, Uganda, Tchad, Côte d'Ivoire, The Gambia, Ghana, Guinée, Mali, Mauritanie",Directorate General for Education and Culture,Improved migration management,2018-12-17,,2023-04-17,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7595/document/T05-EUTF-REG-REG-05_-_Erasmus_in_West_Africa_and_the_Horn_of_Africa_inc.pdf,,TRUE,FALSE,REG
T05-EUTF-HOA-REG-78,Better Migration Management Programme Phase II,30000000,"Djibouti, Ethiopia, Eritrea, Somalia, Kenya, Sudan, South Sudan, Uganda",Regional government + GIZ (according to action fichee),Improved migration management,2019-05-28,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7885/document/T05-EUTF-HOA-REG-78_-_BMM_II_ocnhpwq.pdf,implementor manually added march 14 2022,TRUE,FALSE,HOA
T05-EUTF-HOA-REG-80,Delivering durable solutions to forced displacement in the IGAD region through the implementation of the global compact on refugees (GCR),3000000,"Uganda, South Sudan, Sudan, Kenya, Ethiopia, Eritrea, Djibouti, Somalia",Intergovernmental Authority on Development,"Strengthening resilience, Improved migration management",2019-10-31,,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8603/document/T05-EUTF-HOA-REG-80_-_Delivering_durable_solutions_to_forced_displaceme.pdf,,TRUE,FALSE,HOA
T05-EUTF-HOA-ET-77,Promoting stability and strengthening basic service delivery for host communities refugees and other displaced population in Gambella Regional State of Ethiopia,13000000,Ethiopia,International Rescue Committee,"Strengthening resilience, Improved migration management, Improved governance and conflict prevention",28.05.19,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7884/document/T05-EUTF-HOA-ET-77_-_Stability_and_basic_services_Gambella_incl._rider.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-ET-01,Resilience Building and Creation of Economic Opportunities in Ethiopia (RESET II),47695443.11,Ethiopia,"Vita Ethiopia, Danish Church Aid, Save the Children, Caritas Germany, Care, Action Contre Le Fame, Cordaid","Greater economic and employment opportunities, Strengthening resilience, Improved governance and conflict prevention",,2016-04-28,,"https://ec.europa.eu/europeaid/action-document-eutf-action-document-implementation-horn-africa-window-ethiopia-reset-ii_en, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5418/document/T05-EUTF-HOA-ET-01_-_RESET_II_incl._5_addenda.pdf",implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-REG-71,Self-reliance of South Sudanese refugees in DRC,3000000,Democratic Republic of the Congo,United Nations High Commissioner for Refugees,"Greater economic and employment opportunities, Strengthening resilience, Improved migration management",2018-12-12,,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7610/document/T05-EUTF-HOA-REG-71_-_Self-reliance_of_South_Sudanese_refugees_in_DRC_i.pdf,,FALSE,FALSE,HOA
T05-EUTF-HoA-ET-15,Regional Development and Protection Programme in Ethiopia,29673748.02,Ethiopia,"Plan International, Save the Children, Danish Church Aid, Norwegian Refugee Council, International Rescue Committee","Greater economic and employment opportunities, Strengthening resilience, Improved governance and conflict prevention",,2016-12-23,2020-09-01,http://ec.europa.eu/europeaid/sites/devco/files/eutf05-hoa-eth-15-ethiopia-rdpp_en_1.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-REG-79,CRRF DIRECT - Displacement responses through regional cooperation and technical exchange,13000000,"Uganda, Tanzania, Burundi, Rwanda, Democratic Republic of the Congo","Danish Refugee Council, Regional Durable Solutions Secretariat",Strengthening resilience,2019-05-28,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7886/document/T05-EUTF-HOA-REG-79_-_CRRF_DIRECT_incl._2_riders.pdf,,TRUE,FALSE,HOA
T05-EUTF-HoA-ET-24,Building Resilience to Impacts of El Niño through Integrated Complementary Actions to the EU Resilience Building Programme in Ethiopia (RESET Plus),27330349,Ethiopia,"Unicef, Save the Children","Greater economic and employment opportunities, Strengthening resilience",,,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5432/document/T05-EUTF-HOA-ET-24_-_RESET_Plus_incl._4_riders.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-REG-81,Enhancing protection lifesaving assistance and sustainable solutions for evacuees from Libya through the Emergency Transit Mechanism (ETM) in Rwanda,12800000,Rwanda,United Nations High Commissioner for Refugees,Strengthening resilience,2019-11-13,,2019-12-13,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8606/document/T05-EUTF-HOA-REG-81_-_ETM_Rwanda_incl._1_rider.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-11,Regional Development and Protection programme in Sudan: Enhancing alternatives to first and secondary movement from Sudan,15000000,Sudan,"GIZ, United Nations High Commissioner for Refugees, UNIDO, Italian Development Cooperation, Rijksdiens voor Ondernemend Nederland","Greater economic and employment opportunities, Strengthening resilience, Improved governance and conflict prevention",2016-04-28,,2021-10-28,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5430/document/T05-EUTF-HOA-SD-11_-_Sudan_-_RDPP_incl._2_addenda.pdf,,FALSE,TRUE,HOA
T05-EUTF-HOA-SD-12,Strengthening Resilience of IDPs Returnees and Host Communities in West Darfur,7000000,Sudan,"Concern Worldwide, International Medical Corps",Strengthening resilience,2016-04-28,,2021-04-28,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5417/document/T05-EUTF-HOA-SD-12_-_Strengthening_resilience_for_IDPs_returnees_and_ho.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-13,Strengthening resilience of refugees IDPs and host communities in Eastern Sudan,11960000,Sudan,Italian Development Cooperation,Strengthening resilience,2016-04-28,,2021-04-28,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5426/document/T05-EUTF-HOA-SD-13_-_Strengthening_resilience_for_refugees_IDPs_and_hos.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-14,Greater Stability in Eastern Sudan through better and more informed decision-making in Food Security,6000000,Sudan,Food and Agriculture Organization,Strengthening resilience,2016-04-28,,2023-10-28,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5428/document/T05-EUTF-HOA-SD-14_-_Greater_Stability_through_increased_Food_S_TA6zcWm.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-22,Mitigate the effect of El Niño for the host and IDP population in Red Sea White Nile and North Darfur Sudan,7898475,Sudan,"ADRA, COOPI Cooperazione Internazionale, Welthungerhilfe","Greater economic and employment opportunities, Strengthening resilience",2016-10-12,,2021-10-12,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5441/document/T05-EUTF-HOA-SD-22_-_Mitigate_the_effect_of_El_Ni%C3%B1o_for_the_host_and_ID.pdf,,FALSE,TRUE,HOA
T05-EUTF-HOA-SD-31,Education Quality Improvement Programme in Sudan (EQUIP-Sudan),21504799.06,Sudan,"Expertise France, British Council, UNICEF","Strengthening resilience, Strengthening resilience",2016-12-15,2016-12-15,2021-12-15,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5533/document/T05-EUTF-HOA-SD-31_-_Education_Quality_Improvement_Programme_in_Sudan_E.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-32,Improving Nutrition and Reducing Stunting in Eastern Sudan through an Integrated Nutrition and Food Security Approach,54802260,Sudan,World Food Programme,"Strengthening resilience, Improved governance and conflict prevention",2016-12-15,2016-12-15,2021-12-15,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5530/document/T05-EUTF-HOA-SD-32_-_Nutrition_and_Food_Security_incl._2_riders.doc.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-33,Livestock Epidemio-Surveillance Project to Support Livelihoods of vulnerable rural smallholders and pastoralists (LESP SLSP),8820000,Sudan,International Fund for Agricultural Development ,"Greater economic and employment opportunities, Strengthening resilience",2016-12-15,2016-12-15,2020-12-15,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5532/document/T05-EUTF-HOA-SD-33_-_Livestock_Epidemio_-Surveillance_Project_LESP_SLSP.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-37,Wadi El Ku Integrated Catchment Management Project (Phase 2),10000000,Sudan,United Nations Environment Programme,"Greater economic and employment opportunities, Strengthening resilience",2017-04-28,,2021-04-28,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6690/document/T05-EUTF-HOA-SD-37_-_Sudan_Wadi_El_Ku_incl._2_addenda.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-38,Technical Cooperation Facility for Sudan 2018 – 2020,4800000,Sudan,World Health Organization,"Greater economic and employment opportunities, Strengthening resilience, Improved migration management, Improved governance and conflict prevention",2017-04-28,2017-06-30,2023-04-28,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6757/document/T05-EUTF-HOA-SD-38_-_Sudan_TCF_incl._3_addenda.pdf,implementor manually added march 14 2022,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-43,PROTECT – Protection of Persons of Concern (PoC) and vulnerable migrants along migratory routes in Sudan,3820000,Sudan,"Danish Red Cross, International Organization for Migration",Improved migration management,2017-12-12,2018-01-30,2023-12-12,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6742/document/T05-EUTF-HOA-SD-43_-_PROTECT_with_3_addenda.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-44,IMPROVE-EU Integrated Measures to promote rural-urban value addition and Employment – East Sudan,8000000,Sudan,GIZ,"Greater economic and employment opportunities, Strengthening resilience, Improved governance and conflict prevention",2018-03-03,2019-10-01,2022-10-01,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6745/document/T05-EUTF-HOA-SD-44_-_IMPROVE-EU_incl._rider.pdf,,FALSE,TRUE,HOA
T05-EUTF-HOA-SD-45,Fostering Smallholder Capacities and Access to Markets in Food Insecure Areas of Darfur,8000000,Sudan,World Food Programme,Improved migration management,2018-05-01,,2022-05-01,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6743/document/AD%20SUDAN-%20MARKET%20ACCESS%20DARFUR_xDTmC8I.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-53,Humanitarian Development Nexus: Simple SpatialSurvey Method (S3M) for Sudan,1000000,Sudan,UNICEF,Strengthening resilience,2018-09-02,,2020-03-02,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7133/document/T05-EUTF-HOA-SD-53_S3M.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-54,Youth Employment Skills (YES) - Sudan,15000000,Sudan,GIZ,Greater economic and employment opportunities,2018-11-01,2020-02-27,2020-11-01,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7135/document/T05-EUTF-HOA-SD-54_YES.pdf,,FALSE,TRUE,HOA
T05-EUTF-HOA-SD-55,Provision of air services to allow access for humanitarian and development actors in Sudan,1460000,Sudan,World Food Programme,Strengthening resilience,2018-08-01,,2020-08-01,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7136/document/T05-EUTF-HOA-SD-55_-_UNHAS_incl_1_rider.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-63,Building Resilient Communities in West Kordofan (BRICK),10000000,Sudan,"UNICEF, Concern Worldwide",,2018-12-12,2020-01-01,2023-12-12,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7603/document/T05-EUTF-HOA-SD-63%20-%20Sudan%20BRICK.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-64,EU support for the Family Support Programme and for the consolidation of social protection in Sudan,15000000,Sudan,World Bank,,2018-12-12,,2023-12-12,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7604/document/T05-EUTF-HOA-SD-64_-_EU_support_for_the_Family_Support_Programme_and_fo.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-SD-65,Integrating refugee children into the Sudanese Education System,25000000,Sudan,UNICEF,Strengthening resilience,2018-12-12,,2021-12-12,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7605/document/T05-EUTF-HOA-SD-65_-_Integrated_Education_Sudan_incl._rider.docx.pdf,,FALSE,FALSE,HOA
