
"Year","Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad","Stateless persons","Others of concern"
2020,Iceland,ISL,-,-,5,0,0,,0,0
2020,Liechtenstein,LIE,-,-,0,5,0,,0,0
2020,Luxembourg,LUX,-,-,5,0,0,,0,0
2020,Martinique,MTQ,-,-,0,5,0,,0,0
2020,Niue,NIU,-,-,18,7,0,,0,0
2020,Nauru,NRU,-,-,5,16,0,,0,0
2020,"Holy See",VAT,-,-,0,12,0,,0,0
2015,Andorra,AND,-,-,5,5,0,,0,0
2015,"Antigua and Barbuda",ATG,-,-,56,12,0,,0,0
2015,Barbados,BRB,-,-,95,24,0,,0,0
2015,Finland,FIN,-,-,10,0,0,,0,0
2015,"New Zealand",NZL,-,-,16,7,0,,0,0
2015,"Papua New Guinea",PNG,-,-,335,198,0,,0,0
2015,Switzerland,CHE,-,-,16,0,0,,0,0
2015,Timor-Leste,TLS,-,-,19,5,0,,0,0
2015,Tonga,TON,-,-,22,62,0,,0,0
2016,"Antigua and Barbuda",ATG,-,-,82,30,0,,0,0
2016,Finland,FIN,-,-,5,5,0,,0,0
2016,"New Zealand",NZL,-,-,25,18,0,,0,0
2016,"Turks and Caicos Islands",TCA,-,-,14,5,0,,0,0
2016,Timor-Leste,TLS,-,-,19,0,0,,0,0
2016,Tonga,TON,-,-,25,77,0,,0,0
2016,Samoa,WSM,-,-,0,10,0,,0,0
2017,Cyprus,CYP,-,-,0,20,0,,0,0
2017,"French Guiana",GUF,-,-,0,11,0,,0,0
2017,"China, Macao SAR",MAC,-,-,0,10,0,,0,0
2017,"New Zealand",NZL,-,-,34,27,0,,0,0
2017,"Turks and Caicos Islands",TCA,-,-,14,5,0,,0,0
2017,Tonga,TON,-,-,34,106,0,,0,0
2017,Vanuatu,VUT,-,-,0,14,0,,0,0
2018,"French Guiana",GUF,-,-,0,23,0,,0,0
2018,Finland,FIN,-,-,5,5,0,,0,0
2018,Iceland,ISL,-,-,5,5,0,,0,0
2018,"New Zealand",NZL,-,-,34,14,0,,0,0
2018,"Papua New Guinea",PNG,-,-,424,445,0,,0,0
2018,Tonga,TON,-,-,32,170,0,,0,0
2018,Vanuatu,VUT,-,-,0,52,0,,0,0
2019,"French Guiana",GUF,-,-,0,24,0,,0,0
2019,Finland,FIN,-,-,0,10,0,,0,0
2019,Iceland,ISL,-,-,5,5,0,,0,0
2019,"China, Macao SAR",MAC,-,-,0,33,0,,0,0
2020,Austria,AUT,-,-,18,0,0,,0,0
2020,"Brunei Darussalam",BRN,-,-,0,10,0,,0,0
2020,"French Guiana",GUF,-,-,0,27,0,,0,0
2020,"Marshall Islands",MHL,-,-,7,50,0,,0,0
2020,Seychelles,SYC,-,-,10,5,0,,0,0
2020,Switzerland,CHE,-,-,5,16,0,,0,0
2020,"Turks and Caicos Islands",TCA,-,-,14,5,0,,0,0
2020,Tonga,TON,-,-,31,731,0,,0,0
2015,Grenada,GRD,-,-,270,51,0,,0,0
2015,"China, Hong Kong SAR",HKG,-,-,33,80,0,,0,0
2015,Ireland,IRL,-,-,5,36,0,,0,0
2015,"China, Macao SAR",MAC,-,-,5,25,0,,0,0
2015,Norway,NOR,-,-,10,5,0,,0,0
2015,"Solomon Islands",SLB,-,-,71,37,0,,0,0
2015,"Sao Tome and Principe",STP,-,-,24,10,0,,0,0
2015,Slovenia,SVN,-,-,21,10,0,,0,0
2015,"Saint Vincent and the Grenadines",VCT,-,-,1823,43,0,,0,0
2016,Barbados,BRB,-,-,144,44,0,,0,0
2016,Grenada,GRD,-,-,100,63,0,,0,0
2016,Ireland,IRL,-,-,0,42,0,,0,0
2016,"Saint Lucia",LCA,-,-,993,196,0,,0,0
2016,"Papua New Guinea",PNG,-,-,401,261,0,,0,0
2016,Seychelles,SYC,-,-,10,5,0,,0,0
2016,"Saint Kitts and Nevis",KNA,-,-,49,22,0,,0,0
2016,"Sao Tome and Principe",STP,-,-,31,8,0,,0,0
2016,Slovenia,SVN,-,-,20,12,0,,0,0
2016,Sweden,SWE,-,-,13,17,0,,0,0
2017,Australia,AUS,-,-,10,10,0,,0,0
2017,Barbados,BRB,-,-,172,76,0,,0,0
2017,Denmark,DNK,-,-,0,21,0,,0,0
2017,Finland,FIN,-,-,5,10,0,,0,0
2017,Grenada,GRD,-,-,103,62,0,,0,0
2017,Ireland,IRL,-,-,0,52,0,,0,0
2017,"Saint Lucia",LCA,-,-,995,178,0,,0,0
2017,Netherlands,NLD,-,-,39,64,0,,0,0
2017,"Papua New Guinea",PNG,-,-,406,372,0,,0,0
2017,Seychelles,SYC,-,-,10,5,0,,0,0
2017,"Solomon Islands",SLB,-,-,57,106,0,,0,0
2017,"Saint Kitts and Nevis",KNA,-,-,51,18,0,,0,0
2017,"Sao Tome and Principe",STP,-,-,31,23,0,,0,0
2017,Slovenia,SVN,-,-,17,14,0,,0,0
2017,Tibetan,TIB,-,-,13531,12,0,,0,8
2017,Timor-Leste,TLS,-,-,13,5,0,,0,0
2018,"Antigua and Barbuda",ATG,-,-,107,47,0,,0,0
2018,Australia,AUS,-,-,10,17,0,,0,0
2018,Barbados,BRB,-,-,211,81,0,,0,0
2018,Cyprus,CYP,-,-,7,20,0,,0,0
2018,Denmark,DNK,-,-,0,35,0,,0,0
2018,Grenada,GRD,-,-,96,59,0,,0,0
2018,Ireland,IRL,-,-,0,59,0,,0,0
2018,"Saint Lucia",LCA,-,-,1025,65,0,,0,0
2018,Malta,MLT,-,-,5,10,0,,0,0
2018,Norway,NOR,-,-,5,11,0,,0,0
2018,Qatar,QAT,-,-,30,33,0,,0,0
2018,Seychelles,SYC,-,-,15,0,0,,0,0
2018,"Solomon Islands",SLB,-,-,33,145,0,,0,0
2018,"Saint Kitts and Nevis",KNA,-,-,58,11,0,,0,0
2018,"Sao Tome and Principe",STP,-,-,31,25,0,,0,0
2018,Slovenia,SVN,-,-,19,10,0,,0,0
2018,Tibetan,TIB,-,-,13527,0,0,,0,0
2019,"Antigua and Barbuda",ATG,-,-,117,66,0,,0,0
2019,Austria,AUT,-,-,18,10,0,,0,0
2019,Barbados,BRB,-,-,243,116,0,,0,0
2019,Denmark,DNK,-,-,5,37,0,,0,0
2019,Ireland,IRL,-,-,0,91,0,,0,0
2019,Malta,MLT,-,-,5,15,0,,0,0
2019,Norway,NOR,-,-,5,11,0,,0,0
2019,"New Zealand",NZL,-,-,34,27,0,,0,0
2019,"Papua New Guinea",PNG,-,-,475,549,0,,0,0
2019,Seychelles,SYC,-,-,15,6,0,,0,0
2019,"Solomon Islands",SLB,-,-,34,227,0,,0,0
2019,"Saint Kitts and Nevis",KNA,-,-,57,17,0,,0,0
2019,Slovenia,SVN,-,-,19,15,0,,0,0
2019,Switzerland,CHE,-,-,5,20,0,,0,0
2019,Tibetan,TIB,-,-,12555,0,0,,0,0
2019,Tonga,TON,-,-,32,419,0,,0,0
2019,Vanuatu,VUT,-,-,0,75,0,,0,0
2020,"Antigua and Barbuda",ATG,-,-,108,51,0,,0,0
2020,Barbados,BRB,-,-,230,120,0,,0,0
2020,Bahamas,BHS,-,-,534,695,0,,0,0
2020,Cyprus,CYP,-,-,0,19,0,,0,0
2020,Denmark,DNK,-,-,5,17,0,,0,0
2020,"China, Macao SAR",MAC,-,-,0,44,0,,0,0
2020,Malta,MLT,-,-,5,10,0,,0,0
2020,Norway,NOR,-,-,5,15,0,,0,0
2020,"New Zealand",NZL,-,-,35,32,0,,0,0
2020,"Papua New Guinea",PNG,-,-,510,650,14000,,0,0
2020,Qatar,QAT,-,-,33,38,0,,0,0
2020,"Solomon Islands",SLB,-,-,37,267,0,,0,0
2020,"Saint Kitts and Nevis",KNA,-,-,54,18,0,,0,0
2020,"Sao Tome and Principe",STP,-,-,28,23,0,,0,0
2020,Slovenia,SVN,-,-,17,5,0,,0,0
2020,Vanuatu,VUT,-,-,0,158,0,,0,0
2020,Samoa,WSM,-,-,0,133,0,,0,0
2015,Australia,AUS,-,-,21,0,0,,0,0
2015,Bahamas,BHS,-,-,216,80,0,,0,0
2015,Belize,BLZ,-,-,48,96,0,,0,57
2015,Denmark,DNK,-,-,11,15,0,,0,0
2015,Netherlands,NLD,-,-,64,55,0,,0,0
2015,Qatar,QAT,-,-,21,12,0,,0,0
2015,Seychelles,SYC,-,-,19,20,0,,0,0
2015,"Saint Kitts and Nevis",KNA,-,-,25,20,0,,0,0
2015,Sweden,SWE,-,-,18,15,0,,0,0
2015,Tibetan,TIB,-,-,15069,10,0,,0,6
2016,Australia,AUS,-,-,15,10,0,,0,0
2016,Belgium,BEL,-,-,44,20,0,,0,0
2016,Bahamas,BHS,-,-,298,119,0,,0,0
2016,Belize,BLZ,-,-,58,160,0,,0,0
2016,Canada,CAN,-,-,76,54,0,,0,0
2016,"Cabo Verde",CPV,-,-,10,98,0,,0,0
2016,Lesotho,LSO,-,-,5,698,0,,0,0
2016,Netherlands,NLD,-,-,32,42,0,,0,0
2016,Norway,NOR,-,-,10,15,0,,0,0
2016,Qatar,QAT,-,-,25,23,0,,0,0
2016,"Solomon Islands",SLB,-,-,71,79,0,,0,0
2016,"Saint Vincent and the Grenadines",VCT,-,-,1335,131,0,,0,0
2017,"Antigua and Barbuda",ATG,-,-,99,63,0,,0,0
2017,Austria,AUT,-,-,10,26,0,,0,0
2017,Belgium,BEL,-,-,52,37,0,,0,0
2017,Bahamas,BHS,-,-,378,235,0,,0,0
2017,Belize,BLZ,-,-,64,206,0,,0,0
2017,"Cabo Verde",CPV,-,-,5,181,0,,0,0
2017,"China, Hong Kong SAR",HKG,-,-,11,104,0,,0,0
2017,Japan,JPN,-,-,44,99,0,,0,0
2017,Qatar,QAT,-,-,31,39,0,,0,0
2017,Sweden,SWE,-,-,14,18,0,,0,0
2018,Belize,BLZ,-,-,68,219,0,,0,0
2018,Dominica,DMA,-,-,36,56,0,,0,0
2018,Estonia,EST,-,-,281,37,0,,0,0
2018,"China, Hong Kong SAR",HKG,-,-,11,22,0,,0,0
2018,Sweden,SWE,-,-,16,29,0,,0,0
2018,Timor-Leste,TLS,-,-,12,10,0,,0,0
2019,Grenada,GRD,-,-,80,89,0,,0,0
2019,"China, Hong Kong SAR",HKG,-,-,5,222,0,,0,0
2019,"Saint Lucia",LCA,-,-,843,75,0,,0,0
2019,Qatar,QAT,-,-,36,36,0,,0,0
2019,"Sao Tome and Principe",STP,-,-,28,29,0,,0,0
2020,Australia,AUS,-,-,20,12,0,,0,0
2020,Belize,BLZ,-,-,68,314,0,,0,0
2020,Grenada,GRD,-,-,70,81,0,,0,0
2020,Ireland,IRL,-,-,0,94,0,,0,0
2020,"Saint Lucia",LCA,-,-,726,83,0,,0,0
2020,Sweden,SWE,-,-,8,35,0,,0,0
2020,Tibetan,TIB,-,-,12561,0,0,,0,7
2015,Belgium,BEL,-,-,66,37,0,,0,0
2015,"Costa Rica",CRI,-,-,374,213,0,,0,0
2015,Dominica,DMA,-,-,35,89,0,,0,0
2015,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,128,109,0,,0,0
2015,Germany,DEU,-,-,153,86,0,,0,0
2015,Guyana,GUY,-,-,508,223,0,,0,0
2015,Japan,JPN,-,-,140,68,0,,0,0
2015,"Saint Lucia",LCA,-,-,1011,60,0,,0,0
2015,Lesotho,LSO,-,-,16,1091,0,,0,0
2015,Maldives,MDV,-,-,39,28,0,,0,0
2015,Oman,OMN,-,-,36,16,0,,0,0
2015,Panama,PAN,-,-,62,59,0,,0,0
2015,Suriname,SUR,-,-,19,49,0,,0,0
2015,"Trinidad and Tobago",TTO,-,-,369,195,0,,0,5
2015,Uruguay,URY,-,-,84,62,0,,0,0
2016,Dominica,DMA,-,-,20,126,0,,0,0
2016,Fiji,FJI,-,-,791,510,0,,0,0
2016,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,78,100,0,,0,0
2016,"China, Hong Kong SAR",HKG,-,-,15,112,0,,0,0
2016,Panama,PAN,-,-,33,81,0,,0,0
2016,Singapore,SGP,-,-,38,47,0,,0,0
2016,Suriname,SUR,-,-,16,25,0,,0,0
2016,Tibetan,TIB,-,-,13536,10,0,,0,0
2017,Lesotho,LSO,-,-,6,20,0,,0,0
2017,Oman,OMN,-,-,39,22,0,,0,0
2017,Singapore,SGP,-,-,48,55,0,,0,0
2017,"Trinidad and Tobago",TTO,-,-,310,303,0,,0,15
2017,"Saint Vincent and the Grenadines",VCT,-,-,1311,136,0,,0,0
2018,Austria,AUT,-,-,24,10,0,,0,0
2018,Belgium,BEL,-,-,50,79,0,,0,0
2018,Bahamas,BHS,-,-,421,391,0,,0,0
2018,"Cabo Verde",CPV,-,-,10,206,0,,0,0
2018,Netherlands,NLD,-,-,41,91,0,,0,0
2018,Oman,OMN,-,-,42,28,0,,0,0
2018,Singapore,SGP,-,-,46,70,0,,0,0
2018,"Saint Vincent and the Grenadines",VCT,-,-,1258,56,0,,0,0
2019,Bahamas,BHS,-,-,501,530,0,,0,0
2019,Belize,BLZ,-,-,73,278,0,,0,0
2019,Cyprus,CYP,-,-,0,35,0,,0,0
2019,Dominica,DMA,-,-,50,82,0,,0,0
2019,Estonia,EST,-,-,274,55,0,,0,0
2019,Netherlands,NLD,-,-,55,102,0,,0,0
2019,Singapore,SGP,-,-,39,88,0,,0,0
2019,Suriname,SUR,-,-,17,72,0,,0,0
2019,Slovakia,SVK,-,-,1343,233,0,,0,0
2019,"Saint Vincent and the Grenadines",VCT,-,-,979,78,0,,0,0
2020,Belgium,BEL,-,-,28,62,0,,0,0
2020,"China, Hong Kong SAR",HKG,-,-,15,487,0,,0,0
2020,Lesotho,LSO,-,-,6,38,0,,0,0
2020,Singapore,SGP,-,-,37,74,0,,0,0
2020,Suriname,SUR,-,-,17,146,0,,0,0
2020,Timor-Leste,TLS,-,-,11,324,0,,0,0
2020,"Saint Vincent and the Grenadines",VCT,-,-,742,38,0,,0,0
2015,"Cabo Verde",CPV,-,-,27,95,0,,0,0
2015,Portugal,PRT,-,-,28,64,0,,0,0
2015,Singapore,SGP,-,-,50,45,0,,0,0
2016,Estonia,EST,-,-,303,42,0,,0,0
2016,Greece,GRC,-,-,101,76,0,,0,0
2016,Japan,JPN,-,-,53,83,0,,0,0
2016,Maldives,MDV,-,-,58,35,0,,0,0
2016,Oman,OMN,-,-,35,24,0,,0,0
2016,Portugal,PRT,-,-,20,81,0,,0,0
2016,"Trinidad and Tobago",TTO,-,-,295,241,0,,0,6
2016,"United Arab Emirates",ARE,-,-,103,160,0,,0,0
2017,Dominica,DMA,-,-,26,63,0,,0,0
2017,Estonia,EST,-,-,288,42,0,,0,0
2017,Fiji,FJI,-,-,734,678,0,,0,0
2017,Maldives,MDV,-,-,64,34,0,,0,0
2017,Suriname,SUR,-,-,17,44,0,,0,0
2017,Eswatini,SWZ,-,-,231,40,0,,0,0
2018,Botswana,BWA,-,-,289,89,0,,0,0
2018,Fiji,FJI,-,-,675,1297,0,,0,0
2018,Japan,JPN,-,-,42,114,0,,0,0
2018,Lesotho,LSO,-,-,6,38,0,,0,0
2018,Suriname,SUR,-,-,22,57,0,,0,0
2018,Slovakia,SVK,-,-,1218,390,0,,0,0
2019,Australia,AUS,-,-,20,50,0,,0,0
2019,Fiji,FJI,-,-,591,2343,0,,0,0
2019,Japan,JPN,-,-,39,112,0,,0,0
2019,Lesotho,LSO,-,-,6,49,0,,0,0
2019,Maldives,MDV,-,-,75,11,0,,0,0
2019,Sweden,SWE,-,-,13,41,0,,0,0
2019,Timor-Leste,TLS,-,-,17,41,0,,0,0
2020,Botswana,BWA,-,-,191,134,0,,0,0
2020,"Cabo Verde",CPV,-,-,5,258,0,,0,0
2020,Estonia,EST,-,-,277,43,0,,0,0
2020,Fiji,FJI,-,-,516,2683,0,,0,0
2020,Greece,GRC,-,-,90,122,0,,0,0
2020,Japan,JPN,-,-,40,121,0,,0,0
2020,Maldives,MDV,-,-,78,23,0,,0,0
2020,Namibia,NAM,-,-,457,841,0,,0,0
2020,Netherlands,NLD,-,-,51,83,0,,0,0
2020,Slovakia,SVK,-,-,1368,209,0,,0,0
2015,Botswana,BWA,-,-,306,73,0,,0,0
2015,Canada,CAN,-,-,73,334,0,,0,6
2015,Estonia,EST,-,-,315,39,0,,0,0
2015,Greece,GRC,-,-,111,65,0,,0,0
2015,Italy,ITA,-,-,69,139,0,,0,0
2015,Paraguay,PRY,-,-,88,67,0,,0,0
2015,Eswatini,SWZ,-,-,213,159,0,,0,0
2016,Botswana,BWA,-,-,265,127,0,,0,0
2016,"Costa Rica",CRI,-,-,202,312,0,,0,0
2016,Germany,DEU,-,-,67,128,0,,0,0
2016,Guyana,GUY,-,-,269,296,0,,0,0
2016,Italy,ITA,-,-,49,132,0,,0,0
2016,"Rep. of Korea",KOR,-,-,243,266,0,,0,0
2016,Slovakia,SVK,-,-,792,580,0,,0,0
2016,Eswatini,SWZ,-,-,224,137,0,,0,0
2017,Greece,GRC,-,-,106,95,0,,0,0
2017,Guyana,GUY,-,-,260,482,0,,0,0
2017,Latvia,LVA,-,-,162,105,0,,0,0
2017,Norway,NOR,-,-,15,25,0,,0,0
2017,Panama,PAN,-,-,36,126,0,,0,0
2017,Portugal,PRT,-,-,16,171,0,,0,0
2017,Slovakia,SVK,-,-,913,699,0,,0,0
2017,Uruguay,URY,-,-,12,174,0,,0,0
2018,Guyana,GUY,-,-,283,551,0,,0,0
2018,Maldives,MDV,-,-,74,35,0,,0,0
2018,Panama,PAN,-,-,44,141,0,,0,0
2019,Belgium,BEL,-,-,34,106,0,,0,0
2019,"Cabo Verde",CPV,-,-,10,250,0,,0,0
2019,Lithuania,LTU,-,-,61,76,0,,0,0
2019,Latvia,LVA,-,-,144,98,0,,0,0
2019,Oman,OMN,-,-,42,59,0,,0,974
2020,Latvia,LVA,-,-,143,92,0,,0,0
2020,Malawi,MWI,-,-,514,2168,0,,0,0
2020,Oman,OMN,-,-,47,70,0,,0,974
2020,Panama,PAN,-,-,70,315,0,,0,0
2015,Argentina,ARG,-,-,186,160,0,,0,0
2015,Fiji,FJI,-,-,887,429,0,,0,0
2015,"Rep. of Korea",KOR,-,-,346,252,0,,0,0
2015,"United Arab Emirates",ARE,-,-,91,103,0,,0,0
2016,Comoros,COM,-,-,572,226,0,,0,0
2016,Czechia,CZE,-,-,1266,233,0,,0,0
2016,France,FRA,-,-,50,116,0,,0,0
2016,Latvia,LVA,-,-,165,96,0,,0,0
2016,Mauritius,MUS,-,-,106,203,0,,0,0
2016,Spain,ESP,-,-,34,120,0,,0,0
2016,Uruguay,URY,-,-,23,103,0,,0,0
2017,Botswana,BWA,-,-,279,95,0,,0,0
2017,Canada,CAN,-,-,75,78,0,,0,0
2017,Comoros,COM,-,-,600,322,0,,0,0
2017,"Costa Rica",CRI,-,-,195,486,0,,0,0
2017,Czechia,CZE,-,-,1272,307,0,,0,0
2017,France,FRA,-,-,54,140,0,,0,0
2017,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,85,158,0,,0,0
2017,Namibia,NAM,-,-,1368,211,0,,0,5
2017,Spain,ESP,-,-,39,197,0,,0,0
2018,Canada,CAN,-,-,81,79,0,,0,0
2018,France,FRA,-,-,59,219,0,,0,0
2018,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,84,184,0,,0,0
2018,Germany,DEU,-,-,61,176,0,,0,0
2018,Greece,GRC,-,-,107,128,0,,0,0
2018,Latvia,LVA,-,-,152,103,0,,0,0
2018,Mauritius,MUS,-,-,156,294,0,,0,0
2018,Portugal,PRT,-,-,20,245,0,,0,0
2018,Eswatini,SWZ,-,-,237,48,0,,0,0
2018,"Trinidad and Tobago",TTO,-,-,323,305,0,,0,15
2018,Uruguay,URY,-,-,7,203,0,,0,0
2019,Botswana,BWA,-,-,228,139,0,,0,0
2019,Greece,GRC,-,-,95,133,0,,0,0
2019,Mauritius,MUS,-,-,178,304,0,,0,0
2019,Panama,PAN,-,-,45,240,0,,0,0
2019,Uruguay,URY,-,-,15,311,0,,0,0
2020,Dominica,DMA,-,-,55,74,0,,0,0
2020,France,FRA,-,-,49,175,0,,0,0
2020,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,62,200,0,,0,0
2020,Guyana,GUY,-,-,267,708,0,,0,0
2020,Lithuania,LTU,-,-,58,78,0,,0,0
2020,Eswatini,SWZ,-,-,198,81,0,,0,0
2020,Uruguay,URY,-,-,15,435,0,,0,0
2015,"Equatorial Guinea",GNQ,-,-,142,85,0,,0,0
2015,France,FRA,-,-,90,77,0,,0,0
2015,Lithuania,LTU,-,-,143,64,0,,0,0
2015,Mauritius,MUS,-,-,101,202,0,,0,0
2015,Namibia,NAM,-,-,1272,60,0,,0,36
2015,Slovakia,SVK,-,-,325,541,0,,0,0
2016,"Equatorial Guinea",GNQ,-,-,131,100,0,,0,0
2016,"Lao People's Dem. Rep.",LAO,-,-,7229,167,0,,0,0
2016,Lithuania,LTU,-,-,74,78,0,,0,0
2016,Namibia,NAM,-,-,1363,130,0,,0,41
2017,"Rep. of Korea",KOR,-,-,239,381,0,,0,0
2017,"Lao People's Dem. Rep.",LAO,-,-,7056,223,0,,0,0
2017,Mauritius,MUS,-,-,130,229,0,,0,0
2017,Paraguay,PRY,-,-,77,175,0,,0,0
2017,"United Arab Emirates",ARE,-,-,137,207,0,,0,0
2018,Lithuania,LTU,-,-,66,89,0,,0,0
2018,Madagascar,MDG,-,-,298,111,0,,0,0
2018,Namibia,NAM,-,-,1331,332,0,,0,0
2018,Poland,POL,-,-,1085,912,0,,0,0
2019,Canada,CAN,-,-,71,88,0,,0,0
2019,France,FRA,-,-,50,268,0,,0,0
2019,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,69,227,0,,0,0
2019,Guyana,GUY,-,-,284,676,0,,0,0
2019,Namibia,NAM,-,-,459,761,0,,0,0
2019,Poland,POL,-,-,961,1016,0,,0,0
2019,Portugal,PRT,-,-,25,338,0,,0,0
2019,"United Arab Emirates",ARE,-,-,155,183,0,,0,0
2020,Canada,CAN,-,-,65,108,0,,0,0
2020,Madagascar,MDG,-,-,268,338,0,,0,0
2020,Portugal,PRT,-,-,27,360,0,,0,0
2020,"Trinidad and Tobago",TTO,-,-,295,414,0,,0,393
2015,Czechia,CZE,-,-,1280,119,0,,0,0
2015,"Lao People's Dem. Rep.",LAO,-,-,7359,165,0,,0,0
2015,Latvia,LVA,-,-,187,77,0,,0,0
2015,Spain,ESP,-,-,60,85,0,,0,0
2016,Malawi,MWI,-,-,427,3752,0,,0,0
2016,Paraguay,PRY,-,-,68,117,0,,0,0
2017,"Equatorial Guinea",GNQ,-,-,127,110,0,,0,0
2017,Germany,DEU,-,-,66,179,0,,0,0
2017,Italy,ITA,-,-,52,282,0,,0,0
2017,Lithuania,LTU,-,-,73,95,0,,0,0
2017,Malawi,MWI,-,-,434,3154,0,,0,0
2018,Czechia,CZE,-,-,1236,224,0,,0,0
2018,Italy,ITA,-,-,69,381,0,,0,0
2018,"Rep. of Korea",KOR,-,-,274,536,0,,0,0
2018,Malawi,MWI,-,-,472,2800,0,,0,0
2018,Paraguay,PRY,-,-,73,278,0,,0,0
2018,"United Arab Emirates",ARE,-,-,169,272,0,,0,0
2019,Czechia,CZE,-,-,1166,185,0,,0,0
2019,"Equatorial Guinea",GNQ,-,-,156,167,0,,0,0
2019,Madagascar,MDG,-,-,298,264,0,,0,0
2019,Malawi,MWI,-,-,514,2570,0,,0,0
2019,Eswatini,SWZ,-,-,224,97,0,,0,0
