"","iati_id","result_type","title","period_start","period_end","target","actual"
"31","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of people benefitting from legal migration and mobility programmes",2015-01-01,2025-12-31,"","585.00"
"32","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of activities/events explicitly dedicated to raising awareness and sensitivity of general public regarding migration",2015-01-01,2025-12-31,"",""
"33","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of Institutions and non-state actors benefitting from capacity building and operational support on security, border management, CVE, conflict prevention, protection of civilian populations and human rights",2015-01-01,2025-12-31,"",""
"34","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of cross-border cooperation initiatives created / launched or supported",2015-01-01,2025-12-31,"",""
"35","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of strategies, policies and plans developed and / or directly supported",2015-01-01,2025-12-31,"",""
"36","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of refugees benefiting from an Out-of-Camp policy",2015-01-01,2025-12-31,"",""
"37","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of national/regional/local networks and dialogues on migration related issues newly established or functionally enhanced",2015-01-01,2025-12-31,"",""
"38","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of multi-stakeholders groups and learning mechanisms formed and regularly gathering",2015-01-01,2025-12-31,"",""
"39","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of planning, monitoring, learning, data-collection and analysis tools set up, implemented and / or strengthened",2015-01-01,2025-12-31,"",""
"40","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of field studies, surveys and other research conducted",2015-01-01,2025-12-31,"","2.00"
"41","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of social infrastructure built or rehabilitated",2015-01-01,2025-12-31,"",""
"42","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of jobs created",2015-01-01,2025-12-31,"",""
"43","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of projects by diaspora members",2015-01-01,2025-12-31,"",""
"44","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of migrants in transit and forcibly displaced people protected or assisted",2015-01-01,2025-12-31,"",""
"45","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of migrants, or potential migrants, reached out by information campaign on migration and risks linked to irregular migration",2015-01-01,2025-12-31,"",""
"46","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of voluntary returns or humanitarian repatriation supported",2015-01-01,2025-12-31,"",""
"47","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of returning migrants benefiting from reintegration assistance",2015-01-01,2025-12-31,"",""
"48","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of Institutions (National and local) and Non-State actors directly supported through capacity building on migration management",2015-01-01,2025-12-31,"",""
"49","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of border stations supported to strengthen border control",2015-01-01,2025-12-31,"",""
"50","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of staff from governmental institutions, internal security forces and relevant non-state actors trained  on security, border management, CVE, conflict prevention, protection of civilian populations and human rights",2015-01-01,2025-12-31,"",""
"51","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of people participating in conflict prevention and peace building activities",2015-01-01,2025-12-31,"",""
"52","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of victims of trafficking, assisted or referred to assistance services",2015-01-01,2025-12-31,"",""
"53","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of MSMEs created or supported",2015-01-01,2025-12-31,"",""
"54","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of people assisted to develop economic income-generating activities",2015-01-01,2025-12-31,"",""
"55","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of people benefiting from professional trainings (TVET) and/or skills development",2015-01-01,2025-12-31,"",""
"56","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of local development plans directly supported",2015-01-01,2025-12-31,"",""
"57","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of people receiving basic social services",2015-01-01,2025-12-31,"",""
"58","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of people receiving nutrition assistance",2015-01-01,2025-12-31,"",""
"59","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of people receiving food-security related assistance",2015-01-01,2025-12-31,"",""
"60","T05-EUTF-NOA-REG-13-01","EUTF indicators","Number of local governments and/or communities that adopt and implement local disaster risk reduction strategies",2015-01-01,2025-12-31,"",""
"61","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of job placements facilitated and/or supported",2015-01-01,2025-12-31,"",""
"62","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of industrial parks and business infrastructure created, expanded or improved",2015-01-01,2025-12-31,"",""
"63","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Financial volume of new funding instruments for scholarships or self-employment",2015-01-01,2025-12-31,"",""
"64","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Financial volume granted to individual recipients",2015-01-01,2025-12-31,"",""
"65","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Hectares of land benefitting from improved agricultural management",2015-01-01,2025-12-31,"",""
"66","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of people reached by information campaigns on resilience-building practices and basic rights",2015-01-01,2025-12-31,"",""
"67","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of staff from local authorities and basic service providers benefitting from capacity building for strengthening services delivery",2015-01-01,2025-12-31,"",""
"68","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of people having improved access to basic services",2015-01-01,2025-12-31,"",""
"69","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of refugees and forcibly displaced persons receiving legal assistance to support their integration",2015-01-01,2025-12-31,"",""
"70","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of individuals trained on migration management",2015-01-01,2025-12-31,"",""
"71","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of early warning systems on migration flows created",2015-01-01,2025-12-31,"",""
"72","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of people benefitting from legal migration and mobility programmes",2015-01-01,2025-12-31,"",""
"73","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of activities/events explicitly dedicated to raising awareness and sensitivity of general public regarding migration",2015-01-01,2025-12-31,"",""
"74","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of Institutions and non-state actors benefitting from capacity building and operational support on security, border management, CVE, conflict prevention, protection of civilian populations and human rights",2015-01-01,2025-12-31,"",""
"75","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of cross-border cooperation initiatives created / launched or supported",2015-01-01,2025-12-31,"",""
"76","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of strategies, policies and plans developed and / or directly supported",2015-01-01,2025-12-31,"",""
"77","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of refugees benefiting from an Out-of-Camp policy",2015-01-01,2025-12-31,"",""
"78","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of national/regional/local networks and dialogues on migration related issues newly established or functionally enhanced",2015-01-01,2025-12-31,"",""
"79","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of multi-stakeholders groups and learning mechanisms formed and regularly gathering",2015-01-01,2025-12-31,"",""
"80","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of planning, monitoring, learning, data-collection and analysis tools set up, implemented and / or strengthened",2015-01-01,2025-12-31,"",""
"81","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of field studies, surveys and other research conducted",2015-01-01,2025-12-31,"",""
"82","T05-EUTF-NOA-REG-13-01","EUTF indicators - new","Number of social infrastructure built or rehabilitated",2015-01-01,2025-12-31,"",""
"83","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of jobs created",2015-01-01,2025-12-31,"",""
"84","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of projects by diaspora members",2015-01-01,2025-12-31,"",""
"85","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of migrants in transit and forcibly displaced people protected or assisted",2015-01-01,2025-12-31,"",""
"86","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of migrants, or potential migrants, reached out by information campaign on migration and risks linked to irregular migration",2015-01-01,2025-12-31,"",""
"87","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of voluntary returns or humanitarian repatriation supported",2015-01-01,2025-12-31,"",""
"88","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of returning migrants benefiting from reintegration assistance",2015-01-01,2025-12-31,"",""
"89","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of Institutions (National and local) and Non-State actors directly supported through capacity building on migration management",2015-01-01,2025-12-31,"",""
"90","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of border stations supported to strengthen border control",2015-01-01,2025-12-31,"",""
"91","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of staff from governmental institutions, internal security forces and relevant non-state actors trained  on security, border management, CVE, conflict prevention, protection of civilian populations and human rights",2015-01-01,2025-12-31,"",""
"92","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of people participating in conflict prevention and peace building activities",2015-01-01,2025-12-31,"",""
"93","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of victims of trafficking, assisted or referred to assistance services",2015-01-01,2025-12-31,"",""
"94","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of MSMEs created or supported",2015-01-01,2025-12-31,"",""
"95","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of people assisted to develop economic income-generating activities",2015-01-01,2025-12-31,"",""
"96","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of people benefiting from professional trainings (TVET) and/or skills development",2015-01-01,2025-12-31,"",""
"97","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of local development plans directly supported",2015-01-01,2025-12-31,"",""
"98","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of people receiving basic social services",2015-01-01,2025-12-31,"",""
"99","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of people receiving nutrition assistance",2015-01-01,2025-12-31,"",""
"100","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of people receiving food-security related assistance",2015-01-01,2025-12-31,"",""
"101","T05-EUTF-NOA-REG-08-05","EUTF indicators","Number of local governments and/or communities that adopt and implement local disaster risk reduction strategies",2015-01-01,2025-12-31,"",""
"102","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of job placements facilitated and/or supported",2015-01-01,2025-12-31,"",""
"103","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of industrial parks and business infrastructure created, expanded or improved",2015-01-01,2025-12-31,"",""
"104","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Financial volume of new funding instruments for scholarships or self-employment",2015-01-01,2025-12-31,"",""
"105","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Financial volume granted to individual recipients",2015-01-01,2025-12-31,"",""
"106","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Hectares of land benefitting from improved agricultural management",2015-01-01,2025-12-31,"",""
"107","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of people reached by information campaigns on resilience-building practices and basic rights",2015-01-01,2025-12-31,"",""
"108","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of staff from local authorities and basic service providers benefitting from capacity building for strengthening services delivery",2015-01-01,2025-12-31,"",""
"109","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of people having improved access to basic services",2015-01-01,2025-12-31,"",""
"110","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of refugees and forcibly displaced persons receiving legal assistance to support their integration",2015-01-01,2025-12-31,"",""
"111","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of individuals trained on migration management",2015-01-01,2025-12-31,"",""
"112","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of early warning systems on migration flows created",2015-01-01,2025-12-31,"",""
"113","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of people benefitting from legal migration and mobility programmes",2015-01-01,2025-12-31,"",""
"114","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of activities/events explicitly dedicated to raising awareness and sensitivity of general public regarding migration",2015-01-01,2025-12-31,"",""
"115","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of Institutions and non-state actors benefitting from capacity building and operational support on security, border management, CVE, conflict prevention, protection of civilian populations and human rights",2015-01-01,2025-12-31,"",""
"116","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of cross-border cooperation initiatives created / launched or supported",2015-01-01,2025-12-31,"",""
"117","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of strategies, policies and plans developed and / or directly supported",2015-01-01,2025-12-31,"",""
"118","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of refugees benefiting from an Out-of-Camp policy",2015-01-01,2025-12-31,"",""
"119","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of national/regional/local networks and dialogues on migration related issues newly established or functionally enhanced",2015-01-01,2025-12-31,"",""
"120","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of multi-stakeholders groups and learning mechanisms formed and regularly gathering",2015-01-01,2025-12-31,"",""
"121","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of planning, monitoring, learning, data-collection and analysis tools set up, implemented and / or strengthened",2015-01-01,2025-12-31,"",""
"122","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of field studies, surveys and other research conducted",2015-01-01,2025-12-31,"",""
"123","T05-EUTF-NOA-REG-08-05","EUTF indicators - new","Number of social infrastructure built or rehabilitated",2015-01-01,2025-12-31,"",""
"124","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of jobs created",2015-01-01,2025-12-31,"",""
"125","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of projects by diaspora members",2015-01-01,2025-12-31,"",""
"126","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of migrants in transit and forcibly displaced people protected or assisted",2015-01-01,2025-12-31,"",""
"127","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of migrants, or potential migrants, reached out by information campaign on migration and risks linked to irregular migration",2015-01-01,2025-12-31,"",""
"128","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of voluntary returns or humanitarian repatriation supported",2015-01-01,2025-12-31,"",""
"129","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of returning migrants benefiting from reintegration assistance",2015-01-01,2025-12-31,"",""
"130","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of Institutions (National and local) and Non-State actors directly supported through capacity building on migration management",2015-01-01,2025-12-31,"",""
"131","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of border stations supported to strengthen border control",2015-01-01,2025-12-31,"",""
"132","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of staff from governmental institutions, internal security forces and relevant non-state actors trained  on security, border management, CVE, conflict prevention, protection of civilian populations and human rights",2015-01-01,2025-12-31,"",""
"133","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of people participating in conflict prevention and peace building activities",2015-01-01,2025-12-31,"",""
"134","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of victims of trafficking, assisted or referred to assistance services",2015-01-01,2025-12-31,"",""
"135","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of MSMEs created or supported",2015-01-01,2025-12-31,"",""
"136","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of people assisted to develop economic income-generating activities",2015-01-01,2025-12-31,"",""
"137","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of people benefiting from professional trainings (TVET) and/or skills development",2015-01-01,2025-12-31,"",""
"138","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of local development plans directly supported",2015-01-01,2025-12-31,"",""
"139","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of people receiving basic social services",2015-01-01,2025-12-31,"",""
"140","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of people receiving nutrition assistance",2015-01-01,2025-12-31,"",""
"141","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of people receiving food-security related assistance",2015-01-01,2025-12-31,"",""
"142","T05-EUTF-NOA-REG-08-04","EUTF indicators","Number of local governments and/or communities that adopt and implement local disaster risk reduction strategies",2015-01-01,2025-12-31,"",""
"143","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of job placements facilitated and/or supported",2015-01-01,2025-12-31,"",""
"144","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of industrial parks and business infrastructure created, expanded or improved",2015-01-01,2025-12-31,"",""
"145","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Financial volume of new funding instruments for scholarships or self-employment",2015-01-01,2025-12-31,"",""
"146","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Financial volume granted to individual recipients",2015-01-01,2025-12-31,"",""
"147","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Hectares of land benefitting from improved agricultural management",2015-01-01,2025-12-31,"",""
"148","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of people reached by information campaigns on resilience-building practices and basic rights",2015-01-01,2025-12-31,"",""
"149","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of staff from local authorities and basic service providers benefitting from capacity building for strengthening services delivery",2015-01-01,2025-12-31,"",""
"150","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of people having improved access to basic services",2015-01-01,2025-12-31,"",""
"151","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of refugees and forcibly displaced persons receiving legal assistance to support their integration",2015-01-01,2025-12-31,"",""
"152","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of individuals trained on migration management",2015-01-01,2025-12-31,"",""
"153","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of early warning systems on migration flows created",2015-01-01,2025-12-31,"",""
"154","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of people benefitting from legal migration and mobility programmes",2015-01-01,2025-12-31,"",""
"155","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of activities/events explicitly dedicated to raising awareness and sensitivity of general public regarding migration",2015-01-01,2025-12-31,"",""
"156","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of Institutions and non-state actors benefitting from capacity building and operational support on security, border management, CVE, conflict prevention, protection of civilian populations and human rights",2015-01-01,2025-12-31,"",""
"157","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of cross-border cooperation initiatives created / launched or supported",2015-01-01,2025-12-31,"",""
"158","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of strategies, policies and plans developed and / or directly supported",2015-01-01,2025-12-31,"",""
"159","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of refugees benefiting from an Out-of-Camp policy",2015-01-01,2025-12-31,"",""
"160","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of national/regional/local networks and dialogues on migration related issues newly established or functionally enhanced",2015-01-01,2025-12-31,"",""
"161","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of multi-stakeholders groups and learning mechanisms formed and regularly gathering",2015-01-01,2025-12-31,"",""
"162","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of planning, monitoring, learning, data-collection and analysis tools set up, implemented and / or strengthened",2015-01-01,2025-12-31,"",""
"163","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of field studies, surveys and other research conducted",2015-01-01,2025-12-31,"",""
"164","T05-EUTF-NOA-REG-08-04","EUTF indicators - new","Number of social infrastructure built or rehabilitated",2015-01-01,2025-12-31,"",""
"165","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of jobs created",2015-01-01,2025-12-31,"",""
"166","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of projects by diaspora members",2015-01-01,2025-12-31,"",""
"167","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of migrants in transit and forcibly displaced people protected or assisted",2015-01-01,2025-12-31,"",""
"168","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of migrants, or potential migrants, reached out by information campaign on migration and risks linked to irregular migration",2015-01-01,2025-12-31,"",""
"169","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of voluntary returns or humanitarian repatriation supported",2015-01-01,2025-12-31,"",""
"170","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of returning migrants benefiting from reintegration assistance",2015-01-01,2025-12-31,"",""
"171","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of Institutions (National and local) and Non-State actors directly supported through capacity building on migration management",2015-01-01,2025-12-31,"",""
"172","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of border stations supported to strengthen border control",2015-01-01,2025-12-31,"",""
"173","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of staff from governmental institutions, internal security forces and relevant non-state actors trained  on security, border management, CVE, conflict prevention, protection of civilian populations and human rights",2015-01-01,2025-12-31,"",""
"174","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of people participating in conflict prevention and peace building activities",2015-01-01,2025-12-31,"",""
"175","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of victims of trafficking, assisted or referred to assistance services",2015-01-01,2025-12-31,"",""
"176","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of MSMEs created or supported",2015-01-01,2025-12-31,"",""
"177","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of people assisted to develop economic income-generating activities",2015-01-01,2025-12-31,"",""
"178","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of people benefiting from professional trainings (TVET) and/or skills development",2015-01-01,2025-12-31,"",""
"179","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of local development plans directly supported",2015-01-01,2025-12-31,"",""
"180","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of people receiving basic social services",2015-01-01,2025-12-31,"",""
"181","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of people receiving nutrition assistance",2015-01-01,2025-12-31,"",""
"182","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of people receiving food-security related assistance",2015-01-01,2025-12-31,"",""
"183","T05-EUTF-NOA-REG-08-03","EUTF indicators","Number of local governments and/or communities that adopt and implement local disaster risk reduction strategies",2015-01-01,2025-12-31,"",""
"184","T05-EUTF-NOA-REG-08-03","EUTF indicators - new","Number of job placements facilitated and/or supported",2015-01-01,2025-12-31,"",""
"185","T05-EUTF-NOA-REG-08-03","EUTF indicators - new","Number of industrial parks and business infrastructure created, expanded or improved",2015-01-01,2025-12-31,"",""
"186","T05-EUTF-NOA-REG-08-03","EUTF indicators - new","Financial volume of new funding instruments for scholarships or self-employment",2015-01-01,2025-12-31,"",""
"187","T05-EUTF-NOA-REG-08-03","EUTF indicators - new","Financial volume granted to individual recipients",2015-01-01,2025-12-31,"",""
"188","T05-EUTF-NOA-REG-08-03","EUTF indicators - new","Hectares of land benefitting from improved agricultural management",2015-01-01,2025-12-31,"",""
"189","T05-EUTF-NOA-REG-08-03","EUTF indicators - new","Number of people reached by information campaigns on resilience-building practices and basic rights",2015-01-01,2025-12-31,"",""
"190","T05-EUTF-NOA-REG-08-03","EUTF indicators - new","Number of staff from local authorities and basic service providers benefitting from capacity building for strengthening services delivery",2015-01-01,2025-12-31,"",""
"191","T05-EUTF-NOA-REG-08-03","EUTF indicators - new","Number of people having improved access to basic services",2015-01-01,2025-12-31,"",""
"192","T05-EUTF-NOA-REG-08-03","EUTF indicators - new","Number of refugees and forcibly displaced persons receiving legal assistance to support their integration",2015-01-01,2025-12-31,"",""
