"iati_id","prefix","title","summary","partner_funding","partner_accountable","partner_extending","partner_implementing","date_start","date_end","budget","recipient_country","location","location_code","topics","oecd_purpose","links","project_parent","project_child","project_sibling"
"T05-EUTF-SAH-TD-07-03","CTR","DIZA – appui transversal","**L'objectif général** est d'améliorer les conditions de vie des populations hôtes et de réfugiés/retournés dans les zones d’accueil. 

**Les objectifs spécifiques**:

 OS1 : Soutenir l’accès aux services de base et aux mécanismes de protection sociale pour toutes les populations (locales, retournées et réfugiées).  

OS2 : Renforcer la création d'opportunités économiques et d'emplois afin de donner aux populations les moyens de parvenir à l’autosuffisance économique et à la sécurité alimentaire et nutritionnelle.  

OS3 : Renforcer les mécanismes de concertation locale entre populations, autorités locales, secteur privé, services techniques et parties prenantes.",,,,"United Nations High Commissioner for Refugees",,2022-04-17,1e+06,"TD",,,"TFP.2",,,"T05-EUTF-SAH-TD-07",,
"T05-EUTF-SAH-TD-07-02","CTR","Programme de développement inclusif dans les zones d'accueil (DIZA) – zone Sud","**L'objectif générale** de ce projet est d'améliorer les conditions de vie des populations hôtes et de réfugiés/retournés dans les zones d’accueil. 

 Les Objectifs Spécifiques sont les suivantes: 

 OS1 : Soutenir l’accès aux services de base et aux mécanismes de protection sociale pour toutes les populations (locales, retournées et réfugiées).  

OS2 : Renforcer la création d'opportunités économiques et d'emplois afin de donner aux populations les moyens de parvenir à l’autosuffisance économique et à la sécurité alimentaire et nutritionnelle.  

OS3 : Renforcer les mécanismes de concertation locale entre populations, autorités locales, secteur privé, services techniques et parties prenantes.",,,,,,2023-11-01,7e+06,"TD",,,"TFP.2",,,"T05-EUTF-SAH-TD-07",,
"T05-EUTF-SAH-TD-01-11","CTR","Contrat Unités de Production Hydraulique (UPH) lot 2","L'objectif général est la réalisation de 20 unités de production hydraulique  alimentées par l’énergie photovoltaïque.",,,,,,2021-08-04,1172326.99,"TD",,,"TFP.2",,,"T05-EUTF-SAH-TD-01",,
"T05-Eutf-SAH-TD-01-10","CTR","Contrat Unités de Production Hydraulique (UPH) lot 1","L'objectif général est la  réalisation de 20 unités de production hydraulique  alimentées par l’énergie photovoltaïque.",,,,,,2020-12-31,892000,"TD",,,"TFP.2",,,"T05-EUTF-SAH-TD-01",,
"T05-EUTF-SAH-TD-01-09","CTR","Fourniture de Pompes à Motricité Humaine (PMH)","L'objectif est la construction de 120 superstructures pour nouveaux et anciens forages réhabilités d’hydraulique villageoise, y compris la fourniture et la pose de 120 pompes à motricité humaine au Tchad. Assurer le service après-vente des structures construites et des pompes achetées.",,,,,,2020-11-01,947492.8,"TD",,,"TFP.2",,,"T05-EUTF-SAH-TD-01",,
"T05-EUTF-SAH-TD-08-01","CTR","SECurité et GEstion des Frontières (SECGEF)","**L'objectif général** est de contribuer à renforcer la stabilité au Tchad et l'offre de sécurité comme un bien public de qualité au benefice des populations.

 Les objectifs spécifiques de l'action sont de : 

1. Renforcer le développement des politiques et stratégies de l'Etat en matière de sécurité, notamment en termes de gestion des frontières, avec une attention particulière accordée au respect des droits de l'Homme et des principes et valeurs relatifs à l'Etat de droit. 

2. Renforcer les capacités de fonctionnement et de gestion des structures institutionnelles des FSI, avec une attention particulière attribuée au respect des droits de l'Homme et de normes éthiques minimales y inclus dans le contenu des formations menées. 

3. Accroître la capacité financière des autorités pour maintenir la sécurité intérieure et la stabilité macroéconomique afin d'atteindre les objectifs de la politique nationale de développement à court terme.",,,,,,2020-12-17,1e+07,"TD",,,"TFP.4",,,"T05-EUTF-SAH-TD-08",,
"T05-EUTF-SAH-REG-20-01","CTR","Programme d’Appui au G5 pour la Sécurité au Sahel (PAGS) Phase II","**L'objectif global** de l’action est de de contribuer à renforcer la sécurité des cinq Etats membres du G5 Sahel (Burkina Faso, Mali, Mauritanie, Niger et Tchad), d’identifier les défis communs auxquels ils doivent faire face et les moyens d’y répondre dans une optique de coopération régionale.",,,,"Civipol",,2022-11-17,9998500,"BF, ML, MR, NE, TD",,,"TFP.4",,,"T05-EUTF-SAH-REG-20",,
"T05-EUTF-SAH-GN-04-01","CTR","RESIGUI - Améliorer la résilience des populations vulnérables de Guinée","**L’objectif global** du projet RESIGUI est de contribuer à l’atteinte de l’ODD 2 : Faim «zéro», en Guinée. 

 L’objectif spécifique est de renforcer la sécurité alimentaire et nutritionnelle des populations les plus vulnérables dans les zones ciblées de Guinée.",,,,"WORLD FOOD PROGRAM - WFP - KENYA OFFICE",,2021-11-05,8e+06,"GN",,,"TFP.2",,,"T05-EUTF-SAH-GN-04",,
"T05-EUTF-SAH-NE-12-03","CTR","Garkua - Projet d'Appui à la Stabilité socioéconomique et à la Paix dans la région d'Agadez (PASP)","**Objectif général**:

Contribuer à la création d’un environnement socioéconomique favorable à la stabilité et à la sécurité dans les communes de Bilma,  Dirkou, Djado et Fachi.

**Objectif Spécifique 1**: Améliorer l’accès aux services sociaux de base et renforcer la cohésion sociale au sein des communautés bénéficiaires du projet. 

**Objectif Spécifique 2**: Redynamiser l’économie locale par la formation professionnelle et la création d’opportunités de revenus.",,,,"L’Association Nigérienne pour un Développement Durable (ANDD- Garkua)",,2022-09-01,3138349.06,"NE",,,"TFP.1",,,"T05-EUTF-SAH-NE-12",,
"T05-EUTF-SAH-MR-08-01","CTR","Appui budgetaire ""L’UE pour le nexus sécurité-résilience-développement en Mauritanie""","**Objectif général:**

 Prévenir la migration irrégulière et les déplacements forcés et faciliter la gestion de la migration ainsi que les retours.",,,,,,2023-09-23,2e+07,"MR",,,"TFP.4",,,"T05-EUTF-SAH-MR-08",,
"T05-EUTF-SAH-REG-15-01","CTR","Archipelago: an African-European TVET initiative","ARCHIPELAGO est une initiative africaine et européenne pour la formation professionnelle et entrepreneuriale en Afrique.

Le programme ARCHIPELAGO vise à soutenir la création d'emplois, à la fois qualitatifs et durables, en Afrique centrale et de l'ouest. Il tend ainsi à répondre aux difficultés engendrées sur le continent par l'exclusion économique et sociale, la marginalisation et les situations structurelles d’inégalité, considérées comme les principaux moteurs de la violence, de la radicalisation, du déplacement forcé et de la migration irrégulière.",,,,"SEQUA gGmbH Partner of German Business",,2022-12-09,1.5e+07,"BF, CI, CM, GH, GM, GN, ML, MR, NE, NG, SN, TD",,,"TFP.1",,,"T05-EUTF-SAH-REG-15",,
"T05-EUTF-SAH-ML-12-01","CTR","Appui au Développement Economique Local et à la prévention des conflits dans les régions de Tombouctou et Gao","**L’objectif général** est de  contribuer à la stabilisation des régions de Tombouctou et Gao et à la résilience des communautés et des collectivités territoriales.

**Objectifs spécifiques**: 

 Le développement économique local et la gouvernance des collectivités territoriales sont améliorés dans les 42 Communes d’intervention des régions de Gao et Tombouctou.",,,,"Luxembourg Development Cooperation Agency",,2022-12-01,1.3e+07,"ML",,,"TFP.1",,,"T05-EUTF-SAH-ML-12",,
"T05-EUTF-SAH-REG-18-04","CTR","Save the Children- Résilience et cohésion sociale des communautés transfrontalières du Liptako Gourma RECOLG","** Objectif général**:

Améliorer les conditions de vie, la résilience à l’insécurité alimentaire et nutritionnelle et face aux conflits et la cohésion sociale des populations vulnérables dans les régions les plus fragiles du Liptako-Gourma",,,,"Save the Children",,2023-12-06,18240000,"BF, ML, NE",,,"TFP.2",,,"T05-EUTF-SAH-REG-18",,
"T05-EUTF-SAH-REG-11-01","CTR","Soutenir les entrepreneurs et les petites PME en Afrique de l’Ouest","L’objectif est de soutenir l’accès des TPME d’Afrique de l’Ouest au financement de longterme et le développement.

 Le projet vise:

1.   Une accélération du développement des petites PME existantes et souvent informelles en Afrique de l’Ouest.
2. L’accroissement des chances de succès des projets entrepreneuriaux en démarrage, et le renforcement général des compétences des entrepreneurs, en particulier les femmes et les jeunes.
3. Un effort catalytique en faveur de l’investissement privé dans les PME.",,,,"Investisseurs & Partenaires",,2023-11-27,15500000,"BF, CI, CM, GH, GN, ML, NE, SN",,,"TFP.1",,,"T05-EUTF-SAH-REG-11",,
"T05-EUTF-SAH-REG-18-02","CTR","Composante Hydraulique et Assainissement (Pilier 1) pour les zones Nord Tillabéri et Ouest Tahoua au Niger, dans le cadre du PROSEHA","**L’objectif général** de l'action est celui du PROSEHA, à savoir « garantir l’accès de tous à l’eau et à l’assainissement et assurer une gestion durable des ressources en eau (ODD 6 en 2030) ».  

 Pour atteindre cet objectif général, l'action s’appuiera sur l’objectif spécifique suivant : « contribuer à assurer la disponibilité et la gestion durable de l’eau et de l’assainissement pour tous les usagers de l’espace rural et semi urbain. »   L’objectif spécifique s’insère dans le PROSEHA. Ainsi, l'action contribue à l’atteinte du programme national PROSEHA.",,,,"Luxembourg Development Cooperation Agency",,2022-01-01,8e+06,"NE",,,"TFP.2",,,"T05-EUTF-SAH-REG-18",,
"T05-EUTF-SAH-REG-18-06","CTR","« Alliance pour la Cohésion Sociale et la Résilience au Mali et en Mauritanie – lot 1 Fuseau ouest et zones limitrophes » (ACOR)","**L’objectif général** du projet ACOR est d’améliorer les conditions de vie, la résilience à l’insécurité alimentaire et nutritionnelle et face aux conflits et la cohésion sociale des populations vulnérables dans les régions les plus fragiles du Mali et de la Mauritanie.

Pour parvenir à l'objectif global, les **objectifs spécifiques **suivants sont poursuivis:

1. Renforcer les moyens d’existence des populations agricoles et pastorales en soutenant de manière durable et structurelle la résilience à l’insécurité alimentaire et nutritionnelle.  
2. Appuyer les communautés et institutions locales dans la prévention des conflits et le renforcement de la cohésion sociale.",,,,"Handicap International",,2023-12-13,12691500,"ML, MR",,,"TFP.2",,,"T05-EUTF-SAH-REG-18",,
"T05-EUTF-SAH-REG-18-07","CTR","Renforcement de la résilience et de la cohésion sociale des populations vulnérables des régions transfrontalières du Burkina Faso et du Niger (RECOSA)","**L’objectif général** est d'amélioration de la résilience et des mécanismes endogènes de cohésion sociale et promotion de la paix des populations vulnérables des zones frontalières Burkina Faso (région du Sahel) et du Niger (région de Tillabéry) 

**Les objectifs spécifiques** sont:

1.  Amélioration de l’accès des ménages et groupes vulnérables aux services sociaux de base, y compris accès aux soins de santé de qualité.
2. Renforcement de la résilience à l’insécurité alimentaire et nutritionnelle des populations agricoles et pastorales à travers les moyens d’existence locaux.
3. Renforcement de la capacité des institutions locales, des communautés et des organisations de la société civile à assurer la cohésion sociale, la prévention et réduction des risques.",,,,"Handicap International",,2023-12-13,17575000,"BF, NE",,,"TFP.2",,,"T05-EUTF-SAH-REG-18",,
"T05-EUTF-SAH-REG-18-09","CTR","ACH-PROGRESS (Programme de réssilience et de cohésion sociale au Sahel)-fuseau central","**Objectif général **: Améliorer les conditions de vie, la résilience à l’insécurité alimentaire et nutritionnelle et face aux conflits et la cohésion sociale des populations vulnérables dans les régions les plus fragiles des frontières entre le Mali, le Burkina-Faso et le Niger.",,,,"Action Contre la Faim",,2024-05-21,2.7e+07,"BF, ML, NE",,,"TFP.2",,,"T05-EUTF-SAH-REG-18",,
"T05-EUTF-SAH-REG-18-08","CTR","«Renforcement de la résilience et de la cohésion sociale dans les zones frontalières du Niger et du Tchad “RECOSOC”»","**L'objectif général** est de contribuer à l’amélioration des conditions de vie et au renforcement de la résilience et de la cohésion sociale des populations vulnérables des espaces frontaliers au Tchad et au Niger.

**Objectifs spécifiques:**

1. Renforcer les moyens d’existence des populations agricoles et pastorales en renforçant de manière durable et structurelle la résilience à l’insécurité alimentaire et nutritionnelle.
2. Améliorer la cohésion sociale et la gestion des conflits communautaires lies aux ressources naturelles au Niger et au Tchad.",,,,"Oxfam",,2023-12-06,12734094,"NE, TD",,,"TFP.2",,,"T05-EUTF-SAH-REG-18",,
"T05-EUTF-SAH-REG-18-01","CTR","Mediation Communautaire G5 - HD","**L’objectif général** est de prévenir et réduire la conflictualité au sein des communautés agro-pastorales et le long des routes de transhumance sahéliennes par la médiation communautaire.

​",,,,"Centre pour le dialogue humanitaire - HD",,2023-01-01,5e+06,"BF, ML, MR, NE, TD",,,"TFP.2",,,"T05-EUTF-SAH-REG-18",,
"T05-EUTF-SAH-MR-08-03","CTR","OIM - Appui à la société civile et aux acteurs institutionnels dans le domaine de la protection des migrants et des droits humains en Mauritanie","**Objectif général** est:  Contribuer à améliorer la protection des droits des migrants et la gouvernance des migrations en Mauritanie à travers le renforcement des capacités de la société civile et des acteurs institutionnels mauritaniens.

Les objectives specifiques de l'action sont:  

OS1. Contribuer à assurer l’assistance directe et la protection des migrants vulnérables en Mauritanie à travers la société civile et en coopération avec les acteurs institutionnels pertinents ; 

OS2. Améliorer la gouvernance de la migration et le respect du droit des migrants par les acteurs institutionnels mauritaniens.",,,,"International Organization for Migration",,2021-08-13,1500000,"MR",,,"TFP.3",,,"T05-EUTF-SAH-MR-08",,
"T05-EUTF-SAH-REG-16-01","CTR","Monitoring and Evaluation of the EUTF migration management approach and actions in the Sahel and Lake Chad","** The overall objective** of the project is to contribute to a better monitoring and analysis of the current progress and results achieved in migration management and governance in the region by the actions supported by the EUTF in order to review if necessary the actions and approach implemented. A particular focus will be laid on capacity building, return, reintegration, and sensitization results and outcomes achieved as well as on the sustainability of approach implemented. 

 A particular focus of the monitoring will be laid on the progress achieved regarding: 

- The progress made in migration governance in the various countries through the capacity building and ownership approach implemented in the frame of the actions; 
- The results and sustainability of reintegration activities for migrants, including the referral mechanism of migrants to other EUTF programmes and local initiatives for reintegration assistance;
- The results and impact of the sensitization activities and approach implemented in the countries and throughout the region.",,,,"Altai Consulting",,2021-01-20,1995038,"BF, CI, CM, GH, GM, GN, GW, ML, MR, NE, NG, SN, TD",,,"TFP.3",,,"T05-EUTF-SAH-REG-16",,
"T05-EUTF-HOA-REG-10-02","CTR","Research and Evidence Facility II - Phase III","The overall purpose of the REF is to collate and produce evidence and policy relevant knowledge  to inform targeted interventions so that they have a positive impact on addressing instability,  irregular migration and forced displacement",,,,,,,2957636,,,,,,,"T05-EUTF-HoA-REG-10",,
"T05-EUTF-HOA-SO-57-02","CTR","Stabilisation and Peace Dividends - Nordic International Support Foundation","To contribute toward the realization of the Government of Somalia’s goals set forth in the Wadajir Framework (WF), National Development Plan (NDP), and other federal & state-level stabilization plans.",,"EU Delegation Somalia",,"Nordic International Support Foundation (NIS)",2018-09-19,2022-09-18,1.2e+07,"SO",,,,,,"T05-EUTF-HOA-SO-57",,
"T05-EUTF-HOA-REG-78-01","CTR","BMM Phase II","The Overall Objective of the Programme is that national authorities and institutions are able to facilitate safe, orderly and regular migration and effectively address and reduce trafficking in human beings and smuggling of migrants within and from the Horn of Africa region by applying a human rights based approach.",,,,,,,3e+07,,,,,,,"T05-EUTF-HOA-REG-78",,
"T05-EUTF-HOA-ET-72-01","CTR","Enhancing Job Opportunities and Employability for Youth and Women (EnJOY)","The main activities are public awareness raising events; public employment services (PES) gap assessment, design model one stop job center (OSJC), refurbishment of job centres, capacity building of PES and other government staff, small and micro enterprise (SMEs) needs assessment and assessment of interns’ absorption capacities; improve access to finance, facilitate and implement employment/training schemes; develop and equip business incubation centers (BIC), certified short term training courses relevant to labour market demand and implement trainings through A/TVETs; Investments into A/TVET workshop facilities, business development and cooperative trainings with selected enterprises; increasing existing loan scheme revolving funds through local Saving and Credit Cooperatives (SACCOs).",,,,,,,8700000,"ET",,,,,,"T05-EUTF-HOA-ET-72",,
"T05-EUTF-NOA-REG-04-01","CTR","Facility for Migrant Protection and Reintegration in North Africa","The Action will contribute to reducing the vulnerabilities of migrants along migratory routes across North Africa (NA) through the creation of a “Facility for Migrant Protection and Reintegration in North Africa”. As such, it responds to the EU Trust Fund strategic objective three, namely fostering “improved migration management in countries of origin and transit”. 

Through an innovative and comprehensive approach, the overall objective of the action is to facilitate orderly, safe, regular and responsible migration management through the development and implementation of rights-based, development-based and dignified return and sustainable reintegration policies. IOM asserts that reintegration can be considered sustainable when returnees have reached levels of economic self-sufficiency, social stability within their communities, and psychosocial well-being that allow them to cope with (re)migration drivers. Having achieved sustainable reintegration, returnees are able to make further migration decisions a matter of choice, rather than necessity. To achieve this objective, it is necessary to approach migrant reintegration in a comprehensive and integrated manner, considering the factors that can affect reintegration and addressing them in a way to respond to the needs of the individual returnees as well as the communities to which they return in a mutually beneficial way, and address the structural factors at play. 

​","EU Trust Fund for Africa","EU Delegation to Libya",,"International Organization for Migration",2018-08-15,,1e+07,"DZ, EG, MA, TN",,,"TFP.3",,,"T05-EUTF-NOA-REG-04",,
"T05-EUTF-HOA-ET-72-05","CTR","Strengthening decentralized Disaster Risk Reduction Management in Somali and SNNP Regional States -Ethiopia","Ethiopia is one of the countries faced with the challenges posed by disasters resulting from climate changes. The impacts of climate change have resulted in recurrent drought and disasters which in turn resulted in the devastation of livelihoods and food security in the country. As a result, about half of the total woredas in Ethiopia (more than 350 woredas) are considered food insecure woredas, which are being supported through Productive Safety Net Program (PSNP) and in a ""normal year"" at least 10 million people will depend of food aid to survive.",,"EU Delegation Ethiopia",,,2019-12-17,2023-12-16,9520000,,,,,,,"T05-EUTF-HOA-ET-72",,
"T05-EUTF-NOA-LY-12-01","CTR","Supporting Libyan authorities to address COVID-19 related challenges and assisting vulnerable groups","In line with the IOM Preparedness and Response Plan for Libya, the **overall objective of this Action is to contribute towards reducing associated morbidity and mortality and enhance protection of the most vulnerable groups affected by the COVID-19, including migrants, IDPs, returnees and host communities.**","EU Trust Fund for Africa","EU Delegation to Libya",,"International Organization for Migration",2020-08-01,,8e+06,"LY",,,"TFP.3",,,"T05-EUTF-NOA-LY-12",,
